product_length_cm,product_width_cm,product_height_cm,ID_Shape
36,30,12,489
34,34,31,490
30,30,53,491
25,20,15,492
43,47,24,493
24,16,11,494
80,60,30,495
27,15,11,496
20,18,17,497
29,29,8,498
23,20,25,499
38,24,31,500
53,28,23,501
20,11,30,502
18,13,12,503
16,11,14,504
40,37,10,505
44,30,17,506
16,15,15,507
76,14,10,508
21,14,2,509
71,45,25,510
37,20,20,511
23,18,19,512
50,40,20,513
66,33,15,514
20,20,15,515
34,15,15,516
41,29,2,517
35,16,28,518
60,29,20,519
20,18,10,520
24,53,69,521
27,37,27,522
30,20,16,523
35,15,9,524
52,52,6,525
20,15,6,526
24,17,2,527
20,15,10,528
28,15,8,529
30,30,6,530
16,15,8,531
21,26,18,532
25,35,35,533
28,17,18,534
29,21,19,535
25,21,22,536
19,19,11,537
20,16,5,538
38,39,41,539
30,22,26,540
23,23,7,541
25,17,10,542
34,22,8,543
20,15,12,544
34,34,10,545
25,13,10,546
18,14,7,547
22,11,3,548
55,44,14,549
40,35,6,550
32,26,8,551
35,25,15,552
33,19,44,553
20,20,21,554
83,12,82,555
23,18,17,556
30,31,19,557
18,13,9,558
25,20,10,559
18,14,16,560
40,16,100,561
50,40,5,562
18,15,19,563
65,25,25,564
28,13,13,565
56,32,11,566
32,29,8,567
30,16,14,568
61,31,31,569
65,20,23,570
16,20,12,571
21,14,10,572
18,18,24,573
40,40,15,574
16,14,11,575
41,36,11,576
23,16,2,577
22,16,3,578
16,12,12,579
30,25,20,580
17,15,13,581
30,11,14,582
27,12,10,583
95,33,7,584
19,19,22,585
30,40,20,586
30,30,40,587
18,16,3,588
17,14,14,589
20,30,31,590
16,13,11,591
34,38,10,592
30,26,20,593
23,20,18,594
34,30,52,595
102,12,12,596
23,18,18,597
16,12,11,598
18,18,12,599
27,26,9,600
19,15,10,601
30,20,11,602
17,14,2,603
24,20,12,604
16,15,12,605
23,38,28,606
70,22,25,607
40,40,30,608
26,16,16,609
23,35,37,610
32,21,9,611
35,41,26,612
21,14,8,613
50,33,30,614
16,22,16,615
92,24,4,616
28,11,10,617
40,29,6,618
18,18,18,619
57,52,11,620
22,20,5,621
40,30,20,622
16,16,8,623
30,30,61,624
16,11,8,625
59,59,10,626
20,14,20,627
55,35,25,628
16,15,5,629
21,71,4,630
27,25,25,631
65,45,36,632
16,14,23,633
36,56,48,634
26,26,3,635
17,12,12,636
20,15,11,637
34,16,18,638
50,11,11,639
19,16,14,640
33,22,6,641
14,28,14,642
100,35,25,643
19,16,7,644
29,25,37,645
20,60,5,646
16,11,13,647
27,16,8,648
29,18,9,649
39,28,6,650
24,13,13,651
39,15,11,652
25,17,9,653
30,20,4,654
19,14,6,655
23,21,15,656
22,12,13,657
68,68,14,658
16,20,11,659
17,11,12,660
20,16,7,661
35,12,27,662
40,50,16,663
68,42,21,664
35,34,10,665
35,11,35,666
20,13,5,667
16,15,14,668
40,30,45,669
20,50,40,670
20,21,13,671
50,40,22,672
19,17,22,673
25,19,10,674
20,13,6,675
30,15,15,676
16,16,28,677
36,19,30,678
20,17,17,679
35,15,4,680
32,20,20,681
35,30,15,682
51,24,49,683
28,22,12,684
35,30,3,685
25,18,4,686
55,35,12,687
22,15,10,688
20,20,30,689
46,43,12,690
38,38,74,691
20,25,40,692
60,60,25,693
17,12,18,694
42,25,54,695
30,24,21,696
20,12,5,697
18,14,8,698
8,6,6,699
26,18,6,700
25,12,5,701
16,20,15,702
80,60,10,703
38,38,70,704
29,16,2,705
18,16,18,706
40,40,60,707
28,31,24,708
76,51,57,709
19,15,12,710
19,16,11,711
40,35,35,712
16,25,35,713
60,16,30,714
50,20,20,715
43,27,16,716
38,52,45,717
22,11,4,718
65,11,11,719
40,32,21,720
48,44,12,721
20,22,16,722
23,38,7,723
32,28,6,724
26,18,15,725
17,20,5,726
11,8,11,727
66,43,6,728
20,21,40,729
16,20,7,730
25,15,6,731
16,17,5,732
21,21,27,733
30,11,23,734
35,30,4,735
60,33,8,736
36,23,12,737
17,11,11,738
17,10,3,739
38,33,31,740
45,45,20,741
43,26,21,742
38,26,26,743
17,11,7,744
24,17,11,745
17,12,7,746
47,24,13,747
55,48,17,748
16,15,3,749
18,14,13,750
20,16,8,751
28,38,18,752
20,16,16,753
55,55,6,754
25,18,3,755
38,28,30,756
24,20,19,757
82,54,10,758
67,17,13,759
16,13,13,760
39,27,4,761
36,11,9,762
23,15,19,763
16,18,11,764
30,11,16,765
24,24,26,766
35,55,10,767
49,42,42,768
30,20,5,769
70,70,8,770
18,13,13,771
20,18,18,772
44,30,93,773
50,50,20,774
24,24,19,775
32,32,32,776
36,18,23,777
54,53,18,778
35,21,25,779
28,18,4,780
18,18,15,781
20,13,16,782
60,14,7,783
21,21,26,784
26,13,5,785
29,18,16,786
21,15,15,787
21,16,7,788
47,35,7,789
18,14,5,790
27,23,5,791
26,19,6,792
20,11,7,793
18,11,3,794
31,17,4,795
30,24,24,796
16,11,21,797
30,12,8,798
30,35,35,799
24,12,15,800
43,23,23,801
30,25,35,802
21,14,11,803
24,16,15,804
16,17,27,805
23,19,15,806
70,45,8,807
34,19,40,808
17,16,11,809
47,11,22,810
26,20,15,811
17,11,4,812
50,12,39,813
23,23,2,814
24,17,13,815
41,41,7,816
21,21,35,817
22,17,14,818
40,11,10,819
16,20,5,820
61,65,70,821
26,18,5,822
16,29,19,823
44,25,11,824
17,13,4,825
38,30,4,826
30,30,35,827
45,22,29,828
16,15,9,829
22,18,22,830
22,13,6,831
16,16,36,832
25,32,23,833
60,43,15,834
60,40,10,835
33,26,7,836
19,19,13,837
22,18,15,838
40,35,11,839
16,18,8,840
24,19,3,841
16,12,3,842
25,22,11,843
30,12,12,844
42,11,12,845
17,14,9,846
42,26,16,847
16,16,30,848
17,16,10,849
50,50,34,850
18,16,5,851
31,31,31,852
22,22,22,853
33,33,4,854
23,14,14,855
32,40,5,856
44,32,24,857
20,15,9,858
18,16,19,859
22,22,4,860
35,25,6,861
60,23,13,862
35,15,15,863
25,45,55,864
16,12,5,865
17,14,11,866
18,13,14,867
57,37,34,868
27,21,8,869
16,40,30,870
22,23,17,871
25,20,5,872
21,14,5,873
23,15,20,874
30,17,17,875
22,17,12,876
23,11,33,877
40,40,35,878
26,26,26,879
38,28,10,880
16,13,16,881
29,21,21,882
31,20,14,883
51,51,11,884
69,53,20,885
40,15,10,886
63,44,14,887
18,16,6,888
28,37,55,889
16,11,30,890
28,28,20,891
22,14,7,892
22,16,12,893
18,12,15,894
23,23,23,895
16,11,20,896
34,19,18,897
35,40,40,898
29,16,4,899
20,16,14,900
20,17,8,901
30,25,8,902
16,11,38,903
45,35,8,904
19,14,3,905
19,27,48,906
25,18,5,907
23,15,6,908
17,13,9,909
47,25,32,910
15,13,13,911
18,16,10,912
18,13,6,913
36,32,47,914
53,53,45,915
34,34,93,916
30,30,25,917
46,38,8,918
25,25,30,919
27,39,22,920
23,21,24,921
32,32,12,922
25,22,24,923
50,16,16,924
30,30,28,925
22,19,16,926
58,48,28,927
27,20,8,928
54,37,25,929
52,11,11,930
38,25,18,931
69,57,39,932
38,25,14,933
16,16,6,934
33,20,20,935
32,23,40,936
23,23,8,937
22,18,16,938
35,20,5,939
20,14,6,940
30,20,15,941
32,26,6,942
98,20,12,943
16,23,21,944
25,18,20,945
25,19,8,946
28,39,39,947
40,30,30,948
40,30,8,949
17,12,15,950
19,20,5,951
21,17,8,952
68,16,42,953
50,48,24,954
45,40,15,955
36,29,7,956
28,22,8,957
64,74,30,958
24,17,19,959
16,14,12,960
27,92,15,961
35,35,10,962
19,17,12,963
23,15,8,964
14,14,16,965
29,28,17,966
25,25,15,967
51,26,25,968
24,14,10,969
19,19,14,970
50,18,12,971
20,14,15,972
41,25,15,973
43,32,15,974
58,53,16,975
43,24,5,976
31,31,29,977
38,26,25,978
50,30,16,979
30,45,25,980
24,21,23,981
38,28,33,982
19,14,15,983
22,42,52,984
53,13,5,985
28,16,5,986
22,28,4,987
70,20,10,988
22,15,6,989
33,18,9,990
33,26,18,991
100,50,50,992
50,15,10,993
16,16,21,994
28,21,12,995
21,11,8,996
16,27,7,997
32,23,4,998
28,28,10,999
17,11,28,1000
29,37,20,1001
16,15,17,1002
20,17,6,1003
20,82,30,1004
17,37,21,1005
51,26,62,1006
16,39,31,1007
16,55,105,1008
25,15,11,1009
28,15,15,1010
17,17,9,1011
28,16,14,1012
60,47,20,1013
35,20,15,1014
62,21,62,1015
47,38,9,1016
18,11,9,1017
32,35,39,1018
18,11,8,1019
67,61,64,1020
34,19,7,1021
30,30,8,1022
17,13,12,1023
25,15,20,1024
16,15,10,1025
42,31,28,1026
26,23,15,1027
17,11,8,1028
36,29,6,1029
40,30,5,1030
40,25,25,1031
21,14,9,1032
24,23,20,1033
30,22,22,1034
23,20,20,1035
50,25,3,1036
19,18,13,1037
64,49,64,1038
56,36,60,1039
53,34,20,1040
35,35,14,1041
32,22,17,1042
26,11,11,1043
56,76,6,1044
42,36,16,1045
36,27,6,1046
56,34,30,1047
28,21,7,1048
25,25,7,1049
20,29,35,1050
35,19,44,1051
22,14,18,1052
32,24,13,1053
33,38,20,1054
36,36,10,1055
22,13,26,1056
18,18,8,1057
18,12,5,1058
32,16,32,1059
50,70,10,1060
23,26,5,1061
22,14,15,1062
100,23,5,1063
20,14,2,1064
50,45,15,1065
27,54,36,1066
63,33,9,1067
19,13,5,1068
28,20,14,1069
100,60,4,1070
22,16,14,1071
22,18,18,1072
33,20,4,1073
34,24,18,1074
27,26,17,1075
52,35,18,1076
32,17,31,1077
105,65,5,1078
30,21,21,1079
25,16,7,1080
26,16,14,1081
39,79,40,1082
26,22,25,1083
55,55,24,1084
100,23,9,1085
50,30,10,1086
25,13,13,1087
16,14,14,1088
19,18,16,1089
54,11,10,1090
25,19,3,1091
25,16,10,1092
18,32,45,1093
25,25,20,1094
30,20,52,1095
33,31,4,1096
28,20,20,1097
22,15,5,1098
16,16,3,1099
51,22,22,1100
35,34,52,1101
43,16,18,1102
45,18,20,1103
102,11,6,1104
30,19,3,1105
19,14,8,1106
16,22,12,1107
16,12,4,1108
63,63,8,1109
35,16,16,1110
44,34,14,1111
16,12,6,1112
58,48,14,1113
22,24,24,1114
53,48,3,1115
36,25,8,1116
18,27,9,1117
40,11,5,1118
16,16,13,1119
20,15,8,1120
34,11,11,1121
20,30,10,1122
19,15,9,1123
31,30,13,1124
35,21,42,1125
19,20,3,1126
48,56,45,1127
25,15,7,1128
16,15,13,1129
60,16,11,1130
35,45,19,1131
25,17,5,1132
40,57,25,1133
28,18,35,1134
22,16,28,1135
44,35,2,1136
38,31,13,1137
17,11,10,1138
79,63,2,1139
23,17,14,1140
30,30,36,1141
25,19,12,1142
20,19,4,1143
50,25,25,1144
19,17,20,1145
19,15,5,1146
16,15,23,1147
23,18,24,1148
70,70,37,1149
32,32,15,1150
16,20,4,1151
16,20,24,1152
27,28,26,1153
53,18,53,1154
18,35,78,1155
50,11,50,1156
19,15,15,1157
40,30,40,1158
19,14,4,1159
40,35,15,1160
33,34,35,1161
90,50,50,1162
16,15,18,1163
19,25,5,1164
20,19,14,1165
70,50,15,1166
57,33,45,1167
47,37,3,1168
27,17,14,1169
45,12,15,1170
18,15,14,1171
34,32,7,1172
20,20,6,1173
30,14,9,1174
43,67,29,1175
30,16,22,1176
36,45,15,1177
28,28,28,1178
53,41,3,1179
33,28,28,1180
20,18,13,1181
19,17,16,1182
18,12,12,1183
30,30,15,1184
16,15,11,1185
50,37,2,1186
22,24,28,1187
37,20,30,1188
38,32,18,1189
22,16,5,1190
20,18,16,1191
21,17,2,1192
17,35,35,1193
20,12,20,1194
18,12,6,1195
16,12,15,1196
54,15,40,1197
33,27,21,1198
38,27,15,1199
43,41,62,1200
36,26,4,1201
45,11,11,1202
35,26,26,1203
22,23,26,1204
51,47,54,1205
35,15,5,1206
36,46,16,1207
41,16,60,1208
55,30,10,1209
38,30,88,1210
65,13,2,1211
30,30,7,1212
23,17,20,1213
58,33,27,1214
16,42,42,1215
34,23,6,1216
33,93,10,1217
27,11,4,1218
35,19,10,1219
18,16,14,1220
30,28,40,1221
45,45,35,1222
64,44,20,1223
21,16,16,1224
21,13,18,1225
29,21,9,1226
36,31,31,1227
66,46,10,1228
36,36,38,1229
45,45,45,1230
16,14,13,1231
35,45,45,1232
16,25,28,1233
30,30,12,1234
22,16,23,1235
38,25,20,1236
18,20,24,1237
62,52,35,1238
35,20,8,1239
32,19,52,1240
54,53,30,1241
57,25,40,1242
30,30,65,1243
19,11,26,1244
16,12,10,1245
45,45,10,1246
48,39,8,1247
64,11,6,1248
72,11,5,1249
30,30,5,1250
35,20,10,1251
100,30,30,1252
19,16,8,1253
23,17,9,1254
30,30,19,1255
60,50,27,1256
30,19,24,1257
19,23,11,1258
16,15,45,1259
20,16,12,1260
42,12,11,1261
63,79,2,1262
60,25,15,1263
25,25,13,1264
19,16,10,1265
16,27,10,1266
38,35,55,1267
35,18,10,1268
45,32,10,1269
53,30,48,1270
25,19,21,1271
26,19,4,1272
50,50,10,1273
17,19,5,1274
16,38,20,1275
24,18,21,1276
27,19,9,1277
20,12,23,1278
26,11,26,1279
55,47,14,1280
38,38,10,1281
30,25,13,1282
40,30,6,1283
40,20,10,1284
30,31,25,1285
57,35,9,1286
39,46,13,1287
52,52,22,1288
50,20,6,1289
16,13,15,1290
20,15,7,1291
25,12,6,1292
93,40,10,1293
60,30,60,1294
65,45,12,1295
26,34,27,1296
16,13,4,1297
32,32,72,1298
42,26,90,1299
49,39,13,1300
30,11,11,1301
16,33,63,1302
23,21,23,1303
27,28,17,1304
48,53,37,1305
41,35,23,1306
22,22,15,1307
50,38,15,1308
24,23,10,1309
40,34,7,1310
20,17,3,1311
105,46,46,1312
19,15,13,1313
18,13,16,1314
24,24,7,1315
25,25,21,1316
34,33,9,1317
60,50,20,1318
16,12,8,1319
49,40,7,1320
18,21,6,1321
21,31,41,1322
41,38,16,1323
30,15,105,1324
30,33,16,1325
50,50,60,1326
38,22,2,1327
21,18,14,1328
19,24,15,1329
26,35,15,1330
18,12,10,1331
52,35,3,1332
16,11,18,1333
53,17,77,1334
19,20,22,1335
35,12,96,1336
33,30,23,1337
17,15,19,1338
32,22,5,1339
16,16,19,1340
25,25,3,1341
19,19,20,1342
31,22,10,1343
30,15,11,1344
23,21,11,1345
34,34,34,1346
30,16,10,1347
43,17,11,1348
22,12,5,1349
56,25,12,1350
20,18,5,1351
90,40,30,1352
28,28,50,1353
45,45,19,1354
26,23,18,1355
35,29,35,1356
36,35,10,1357
16,16,11,1358
47,35,4,1359
19,18,12,1360
17,17,16,1361
30,20,50,1362
22,22,16,1363
23,8,8,1364
40,40,3,1365
66,36,17,1366
60,60,30,1367
34,41,8,1368
22,23,18,1369
18,15,4,1370
19,12,5,1371
40,20,5,1372
69,22,5,1373
55,18,73,1374
50,50,6,1375
21,30,17,1376
19,17,18,1377
71,71,8,1378
41,43,16,1379
55,30,35,1380
17,12,5,1381
20,20,40,1382
32,22,33,1383
60,57,42,1384
24,16,9,1385
32,29,4,1386
17,11,15,1387
64,47,32,1388
34,28,17,1389
26,12,2,1390
44,31,2,1391
50,43,40,1392
25,25,28,1393
19,17,14,1394
53,11,43,1395
24,32,22,1396
20,28,50,1397
61,33,67,1398
48,33,34,1399
38,36,38,1400
17,18,24,1401
20,12,6,1402
40,30,15,1403
17,15,17,1404
28,11,38,1405
55,42,15,1406
31,32,33,1407
45,15,11,1408
30,20,7,1409
27,28,58,1410
25,36,10,1411
43,38,43,1412
19,15,6,1413
60,32,60,1414
41,12,36,1415
78,21,45,1416
51,20,18,1417
56,34,20,1418
57,30,28,1419
26,11,36,1420
23,17,2,1421
16,33,33,1422
42,31,8,1423
23,26,19,1424
28,23,12,1425
27,49,12,1426
22,18,14,1427
35,23,14,1428
24,20,25,1429
40,32,9,1430
28,24,7,1431
18,14,9,1432
49,19,10,1433
42,33,6,1434
35,50,20,1435
56,50,16,1436
40,16,16,1437
18,15,16,1438
16,23,3,1439
22,16,11,1440
33,15,7,1441
36,22,24,1442
23,23,4,1443
20,21,9,1444
17,35,30,1445
18,15,10,1446
27,18,9,1447
13,10,8,1448
23,18,8,1449
40,41,78,1450
19,23,15,1451
26,20,4,1452
30,29,20,1453
27,18,6,1454
51,63,66,1455
38,34,31,1456
28,25,25,1457
22,19,11,1458
21,15,14,1459
29,20,8,1460
60,50,19,1461
40,30,2,1462
20,14,7,1463
26,24,17,1464
35,20,50,1465
31,31,61,1466
17,13,3,1467
70,25,10,1468
32,30,13,1469
19,12,12,1470
16,16,40,1471
25,25,29,1472
22,24,17,1473
25,11,25,1474
45,38,18,1475
33,33,13,1476
24,21,22,1477
44,38,14,1478
19,13,10,1479
14,12,16,1480
20,14,19,1481
36,11,3,1482
49,36,12,1483
60,50,50,1484
21,14,4,1485
18,15,6,1486
19,13,8,1487
18,18,14,1488
44,35,32,1489
24,39,27,1490
45,30,15,1491
70,11,10,1492
56,48,38,1493
23,30,30,1494
54,22,7,1495
45,37,21,1496
16,11,26,1497
20,18,15,1498
16,13,23,1499
17,19,10,1500
22,22,10,1501
64,56,30,1502
18,16,9,1503
42,42,24,1504
35,35,104,1505
53,11,8,1506
61,46,43,1507
23,11,25,1508
60,43,71,1509
65,45,3,1510
26,27,21,1511
32,23,25,1512
103,17,12,1513
103,20,6,1514
49,36,25,1515
90,60,15,1516
16,20,10,1517
25,25,40,1518
19,19,3,1519
33,19,6,1520
105,15,10,1521
14,14,13,1522
16,20,20,1523
35,35,46,1524
21,21,16,1525
54,30,48,1526
35,35,30,1527
33,11,12,1528
37,34,5,1529
28,23,15,1530
39,39,16,1531
105,20,65,1532
20,20,28,1533
40,35,19,1534
27,22,29,1535
27,23,14,1536
18,12,8,1537
67,40,10,1538
16,17,18,1539
19,16,9,1540
33,16,10,1541
16,11,39,1542
50,40,10,1543
20,15,5,1544
24,18,18,1545
38,47,13,1546
26,21,3,1547
16,16,14,1548
16,15,6,1549
47,32,6,1550
53,55,25,1551
55,45,35,1552
25,16,13,1553
19,18,23,1554
17,12,30,1555
35,35,23,1556
25,19,15,1557
35,11,5,1558
24,25,25,1559
36,27,8,1560
80,50,10,1561
30,30,31,1562
35,11,10,1563
20,13,11,1564
28,28,22,1565
68,33,20,1566
35,25,30,1567
18,20,8,1568
21,13,6,1569
18,16,16,1570
23,22,11,1571
27,27,9,1572
26,21,24,1573
40,35,14,1574
22,22,13,1575
45,73,40,1576
21,19,17,1577
17,19,17,1578
66,51,23,1579
22,32,2,1580
67,41,2,1581
40,25,10,1582
37,37,17,1583
33,11,11,1584
43,41,79,1585
28,11,45,1586
30,30,9,1587
21,12,12,1588
41,26,26,1589
18,11,2,1590
16,14,7,1591
45,35,33,1592
22,19,15,1593
55,61,75,1594
55,45,15,1595
69,30,36,1596
34,29,14,1597
42,37,8,1598
34,30,14,1599
38,23,18,1600
50,40,30,1601
17,17,27,1602
74,25,30,1603
36,25,15,1604
18,12,4,1605
28,13,6,1606
48,40,49,1607
64,25,62,1608
60,25,10,1609
20,16,30,1610
25,23,23,1611
21,21,21,1612
30,16,30,1613
23,17,11,1614
14,12,12,1615
35,30,22,1616
25,20,13,1617
25,28,12,1618
30,13,14,1619
34,14,46,1620
18,13,5,1621
44,38,44,1622
100,25,25,1623
51,36,26,1624
31,31,5,1625
33,23,8,1626
16,16,24,1627
19,16,12,1628
17,17,3,1629
39,28,11,1630
32,32,9,1631
22,13,11,1632
28,30,48,1633
29,11,6,1634
24,19,19,1635
70,40,30,1636
51,29,20,1637
41,34,12,1638
16,15,40,1639
19,17,13,1640
21,17,9,1641
26,20,2,1642
33,16,33,1643
32,29,6,1644
20,25,15,1645
77,56,33,1646
19,18,17,1647
16,11,19,1648
35,34,18,1649
27,18,15,1650
35,35,35,1651
30,35,5,1652
25,17,15,1653
44,38,21,1654
44,33,6,1655
42,37,12,1656
27,17,10,1657
24,12,8,1658
17,50,17,1659
23,16,16,1660
